年,一级品类,二级品类,三级品类,品牌,商品名,商品ID,销量(件),销售额(元),均价(元)
2019,彩妆香水,面部彩妆,粉底液,雅诗兰黛 Estee Lauder,【情人节礼物】雅诗兰黛 dw持妆粉底液 保湿遮瑕 持久控油不脱妆,530542339390,638360,248960400,390
2019,彩妆香水,面部彩妆,粉底液,美宝莲 Maybelline,美宝莲fitme粉底液 轻薄滋润fit me哑光控油清透遮瑕持久隐形30ml,564446912358,1541136,190965664,123.9
2019,彩妆香水,面部彩妆,粉底液,红地球 Red Earth,【日本进口】redearth红地球粉底液草本精华遮瑕强轻薄裸妆无妆感,559145345945,1414598,182125884,128.7
2019,彩妆香水,面部彩妆,粉底液,雅诗兰黛 Estee Lauder,【情人节礼物】雅诗兰黛 新沁水粉底液 保湿 防晒遮瑕 裸妆奶油肌,42302551887,319621,156614290,490
2019,彩妆香水,面部彩妆,粉底液,完美日记 Perfect Diary,完美日记小黑盖粉底液保湿遮瑕控油持久bb霜膏女学生平价正品,556395710228,2455526,136309792,55.5
2019,彩妆香水,面部彩妆,粉底液,兰蔻 Lancome,【情人节】兰蔻新持妆粉底液30ml 持久遮瑕自然不闷痘底妆不脱妆,573487570027,315068,132328560,420
2019,彩妆香水,面部彩妆,粉底液,完美日记 Perfect Diary,完美日记磨皮小金盖粉底液持久遮瑕控油裸妆女正品不易脱妆新品,577958135564,1064119,84851968,79.7
2019,彩妆香水,面部彩妆,粉底液,珀莱雅 Proya,珀莱雅insbaha粉底液干皮油皮亲妈持久水润保湿BB遮瑕女学生平价,579685049795,955216,73062858,76.5
2019,彩妆香水,面部彩妆,粉底液,美宝莲 Maybelline,【超品预售】美宝莲fitme粉底液女遮瑕控油持久保湿哑光 油皮亲妈,578427521199,506284,60769927,120
2019,彩妆香水,面部彩妆,粉底液,魅可 M.a.c,【官方正品】MAC/魅可定制无瑕粉底液 遮瑕持久保湿化妆师专用,553809978677,188873,60439360,320
2019,彩妆香水,面部彩妆,粉底液,雅诗兰黛 Estee Lauder,雅诗兰黛 dw持妆粉底液 油皮亲妈 保湿遮瑕防晒 持久控油不脱妆,543800232086,128300,50037000,390
2019,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,阿玛尼权力粉底液正品 卓越遮瑕 持久不脱妆不卡粉  轻薄服帖,564596877066,85808,49768640,580
2019,彩妆香水,面部彩妆,粉底液,红地球 Red Earth,双11预售日本进口redearth红地球养肤粉底液女学生草本精华无妆感,604041983367,364466,47674048,130.8
